X   Methods	svd_solver	Precision
44.0	PCA	randomized	0.6085271317829457
45.0	PCA	randomized	0.6085271317829457
46.0	PCA	randomized	0.6085271317829457
47.0	PCA	randomized	0.6085271317829457
48.0	PCA	randomized	0.6085271317829457
49.0	PCA	randomized	0.6085271317829457
50.0	PCA	randomized	0.6085271317829457
51.0	PCA	randomized	0.6085271317829457
52.0	PCA	randomized	0.6085271317829457
53.0	PCA	randomized	0.6085271317829457
54.0	PCA	randomized	0.6085271317829457
55.0	PCA	randomized	0.6085271317829457
56.0	PCA	randomized	0.6085271317829457
57.0	PCA	randomized	0.6085271317829457
58.0	PCA	randomized	0.6085271317829457
59.0	PCA	randomized	0.6085271317829457
60.0	PCA	randomized	0.6085271317829457
61.0	PCA	randomized	0.6085271317829457
62.0	PCA	randomized	0.6085271317829457
63.0	PCA	randomized	0.6085271317829457
64.0	PCA	randomized	0.6085271317829457
65.0	PCA	randomized	0.6085271317829457
66.0	PCA	randomized	0.6085271317829457
67.0	PCA	randomized	0.6085271317829457
68.0	PCA	randomized	0.6085271317829457
69.0	PCA	randomized	0.6085271317829457
70.0	PCA	randomized	0.6085271317829457
71.0	PCA	randomized	0.6085271317829457
72.0	PCA	randomized	0.6085271317829457
73.0	PCA	randomized	0.6085271317829457
74.0	PCA	randomized	0.6085271317829457
75.0	PCA	randomized	0.6085271317829457
76.0	PCA	randomized	0.6085271317829457
77.0	PCA	randomized	0.6085271317829457
78.0	PCA	randomized	0.6085271317829457
79.0	PCA	randomized	0.6085271317829457
80.0	PCA	randomized	0.6085271317829457
81.0	PCA	randomized	0.6085271317829457
82.0	PCA	randomized	0.6085271317829457
83.0	PCA	randomized	0.6085271317829457
84.0	PCA	randomized	0.6085271317829457
85.0	PCA	randomized	0.6085271317829457
86.0	PCA	randomized	0.6085271317829457
87.0	PCA	randomized	0.6085271317829457
88.0	PCA	randomized	0.6085271317829457
89.0	PCA	randomized	0.6085271317829457
90.0	PCA	randomized	0.6085271317829457
91.0	PCA	randomized	0.6085271317829457
92.0	PCA	randomized	0.6085271317829457
93.0	PCA	randomized	0.6085271317829457
94.0	PCA	randomized	0.6085271317829457
